Entity,was_colonized,colonizer,eating_disorder_pct
Portugal,False,Never colonized,0.4715592857142857
Qatar,True,British,0.3032828928571428
Romania,False,Never colonized,0.17092960714285715
Rwanda,True,Belgian,0.09905814285714286
Saint Lucia,True,British,0.27221589285714287
Saint Vincent and the Grenadines,True,British,0.24830307142857144
Samoa,True,British,0.11693382142857144
Sao Tome and Principe,True,Portuguese,0.12280453571428572
Saudi Arabia,False,Never colonized,0.26238975
Senegal,True,French,0.11876917857142857
Serbia,False,Never colonized,0.16622896428571426
Seychelles,True,British,0.17901542857142855
Sierra Leone,True,British,0.10416092857142857
Singapore,True,British,0.46303524999999995
Slovakia,False,Never colonized,0.203181
Slovenia,False,Never colonized,0.22076717857142855
Solomon Islands,True,British,0.0897704642857143
Somalia,True,Italian,0.07828717857142857
South Africa,True,British,0.20239035714285714
South Sudan,True,British,0.13125864285714287
Spain,False,Never colonized,0.6646372857142857
Sri Lanka,True,British,0.12826425
Sudan,True,British,0.12490646428571428
Suriname,True,Dutch,0.2715047857142857
Sweden,False,Never colonized,0.5190086785714285
Switzerland,False,Never colonized,0.5521625
Tajikistan,False,Never colonized,0.11242364285714286
Thailand,False,Never colonized,0.14930657142857143
Togo,True,French,0.10494014285714286
Tonga,True,British,0.11940696428571429
Trinidad and Tobago,True,British,0.33255375000000004
Tunisia,True,French,0.17768735714285716
Turkey,False,Never colonized,0.25627357142857143
Turkmenistan,False,Never colonized,0.16280853571428572
Uganda,True,British,0.10358885714285715
Ukraine,False,Never colonized,0.16150453571428572
Uruguay,True,Spanish,0.35308771428571434
Uzbekistan,False,Never colonized,0.13205953571428572
Vanuatu,True,British-French,0.1021674642857143
Yemen,True,British,0.12969710714285715
Zambia,True,British,0.1235594642857143
Zimbabwe,True,British,0.13100207142857143
